Alabama A&M def. Alabama State - S1W12, 38, 17
Sacred Heart def. Albany - S1W12, 30, 20
Alcorn State def. Murray State - S1W12, 24, 13
Arkansas-Pine Bluff def. Eastern Kentucky - S1W12, 34, 14
Bethune-Cookman def. Florida A&M - S1W12, 27, 23
Princeton def. Brown - S1W12, 28, 21
Central Connecticut def. Bryant - S1W12, 21, 0
Monmouth def. Bucknell - S1W12, 18, 0
North Dakota def. Butler - S1W12, 44, 31
San Diego def. Cal Poly - S1W12, 27, 24
Jacksonville State def. Campbell - S1W12, 34, 20
Mississippi Valley State def. Central Arkansas - S1W12, 56, 9
Gardner-Webb def. Charleston Southern - S1W12, 38, 16
Chattanooga def. East Tennessee State - S1W12, 37, 7
Columbia def. Cornell - S1W12, 36, 30
Penn def. Dartmouth - S1W12, 47, 35
Furman def. Davidson - S1W12, 23, 0
Dayton def. Drake - S1W12, 27, 10
Delaware State def. Delaware - S1W12, 16, 6
South Dakota State def. Eastern Illinois - S1W12, 42, 35
Portland State def. Eastern Washington - S1W12, 22, 21
Morehead State def. Elon - S1W12, 7, 3
Wagner def. Georgetown - S1W12, 34, 17
Howard def. Hampton - S1W12, 49, 13
Yale def. Harvard - S1W12, 27, 17
Stony Brook def. Holy Cross - S1W12, 48, 47
Idaho State def. Idaho - S1W12, 34, 14
Western Illinois def. Illinois State - S1W12, 25, 7
Incarnate Word def. Northwestern State - S1W12, 14, 0
